"","Df","SumOfSqs","R2","F","Pr(>F)"
"timepoint",1,0.234054981532779,0.14585494866129,1.02456800586287,0.45
"Residual",6,1.37065561403509,0.85414505133871,NA,NA
"Total",7,1.60471059556787,1,NA,NA
