"","Df","SumOfSqs","R2","F","Pr(>F)"
"timepoint",1,0.961082187504223,0.083432953775775,3.55007875382333,0.001
"Residual",39,10.5581334702216,0.916567046224225,NA,NA
"Total",40,11.5192156577258,1,NA,NA
