"","Df","SumOfSqs","R2","F","Pr(>F)"
"timepoint",1,0.30073150679499,0.0684265386165241,1.17524238640125,0.242
"Residual",16,4.0942227445131,0.931573461383476,NA,NA
"Total",17,4.39495425130809,1,NA,NA
