"","Df","SumOfSqs","R2","F","Pr(>F)"
"timepoint",1,1.10271260741218,0.0933733789566816,4.01660583837697,0.001
"Residual",39,10.7069982516514,0.906626621043318,NA,NA
"Total",40,11.8097108590636,1,NA,NA
