"","Df","SumOfSqs","R2","F","Pr(>F)"
"timepoint",1,0.152716941751308,0.0185743137264644,0.605627147893089,0.863
"Residual",32,8.06922568290243,0.981425686273535,NA,NA
"Total",33,8.22194262465374,1,NA,NA
