"","Df","SumOfSqs","R2","F","Pr(>F)"
"timepoint",1,0.0421810249307481,0.0194822555109899,0.158954842953039,0.98
"Residual",8,2.12291864265928,0.98051774448901,NA,NA
"Total",9,2.16509966759003,1,NA,NA
