"","Df","SumOfSqs","R2","F","Pr(>F)"
"timepoint",1,0.0717000562410815,0.027419486026987,0.25373259148983,0.964
"Residual",9,2.54323066020314,0.972580513973013,NA,NA
"Total",10,2.61493071644422,1,NA,NA
