"","Df","SumOfSqs","R2","F","Pr(>F)"
"timepoint",1,0.967006504767739,0.103061630371207,4.25144073757579,0.001
"Residual",37,8.41579193617267,0.896938369628793,NA,NA
"Total",38,9.38279844094041,1,NA,NA
