"","Df","SumOfSqs","R2","F","Pr(>F)"
"timepoint",1,0.104338946871227,0.00788088454628153,0.381287339724844,0.99
"Residual",48,13.1351579977271,0.992119115453718,NA,NA
"Total",49,13.2394969445983,1,NA,NA
