"","Df","SumOfSqs","R2","F","Pr(>F)"
"timepoint",1,0.476586637123553,0.120366421804532,1.91571802968279,0.027
"Residual",14,3.48287838624902,0.879633578195469,NA,NA
"Total",15,3.95946502337258,1,NA,NA
