"","Df","SumOfSqs","R2","F","Pr(>F)"
"timepoint",1,0.106846143428748,0.055895853342347,0.41443624072791,0.924
"Residual",7,1.80467567867036,0.944104146657653,NA,NA
"Total",8,1.91152182209911,1,NA,NA
