"","Df","SumOfSqs","R2","F","Pr(>F)"
"timepoint",1,0.117274306036473,0.0107259536742279,0.498743367267121,0.951
"Residual",46,10.8164206919437,0.989274046325772,NA,NA
"Total",47,10.9336949979801,1,NA,NA
