"","Df","SumOfSqs","R2","F","Pr(>F)"
"timepoint",1,0.831416454578646,0.0616143539237125,3.08601761602294,0.002
"Residual",47,12.6624595926824,0.938385646076287,NA,NA
"Total",48,13.493876047261,1,NA,NA
