"","Df","SumOfSqs","R2","F","Pr(>F)"
"timepoint",1,0.251791687277404,0.0350844817878226,1.0180844556,0.416
"Residual",28,6.9249335897309,0.964915518212177,NA,NA
"Total",29,7.17672527700831,1,NA,NA
