"","Df","SumOfSqs","R2","F","Pr(>F)"
"timepoint",1,0.371597734569217,0.125707084592073,1.58159571711458,0.129
"Residual",11,2.58446266389658,0.874292915407927,NA,NA
"Total",12,2.9560603984658,1,NA,NA
