"","Df","SumOfSqs","R2","F","Pr(>F)"
"timepoint",1,0.135958896470747,0.0202163610589829,0.680905343211795,0.819
"Residual",33,6.58923245097682,0.979783638941017,NA,NA
"Total",34,6.72519134744756,1,NA,NA
