"","Df","SumOfSqs","R2","F","Pr(>F)"
"timepoint",1,0.541058491473044,0.0392845984265946,1.92187626327844,0.028
"Residual",47,13.2317306712835,0.960715401573405,NA,NA
"Total",48,13.7727891627565,1,NA,NA
