"","Df","SumOfSqs","R2","F","Pr(>F)"
"timepoint",1,0.371320906432748,0.128422797678182,1.4734529234596,0.153
"Residual",10,2.52007309172053,0.871577202321818,NA,NA
"Total",11,2.89139399815328,1,NA,NA
