"","Df","SumOfSqs","R2","F","Pr(>F)"
"timepoint",1,0.138511291386361,0.104380949404474,0.582730734317606,0.795
"Residual",5,1.18846735918744,0.895619050595526,NA,NA
"Total",6,1.3269786505738,1,NA,NA
