"","Df","SumOfSqs","R2","F","Pr(>F)"
"timepoint",1,0.229007462193854,0.044649872465608,0.934733165961724,0.51
"Residual",20,4.89995370942538,0.955350127534392,NA,NA
"Total",21,5.12896117161924,1,NA,NA
