"","Df","SumOfSqs","R2","F","Pr(>F)"
"timepoint",1,0.0782480732361207,0.00823353645072507,0.340377505074768,0.997
"Residual",41,9.42533203531248,0.991766463549275,NA,NA
"Total",42,9.5035801085486,1,NA,NA
