"","Df","SumOfSqs","R2","F","Pr(>F)"
"timepoint",1,0.0892810324055757,0.0283964497496445,0.350716500477927,0.977
"Residual",12,3.05481033087104,0.971603550250355,NA,NA
"Total",13,3.14409136327661,1,NA,NA
