"","Df","SumOfSqs","R2","F","Pr(>F)"
"timepoint",1,0.315756939235741,0.0728663262911292,1.25748988923485,0.182
"Residual",16,4.01761562539953,0.927133673708871,NA,NA
"Total",17,4.33337256463527,1,NA,NA
