"","Df","SumOfSqs","R2","F","Pr(>F)"
"timepoint",1,0.392139249177262,0.0862638968824838,1.51052622897426,0.097
"Residual",16,4.1536703345408,0.913736103117516,NA,NA
"Total",17,4.54580958371807,1,NA,NA
