"","Df","SumOfSqs","R2","F","Pr(>F)"
"timepoint",1,0.161236663755578,0.0251891162074521,0.697680082269109,0.79
"Residual",27,6.2398082330827,0.974810883792548,NA,NA
"Total",28,6.40104489683828,1,NA,NA
