"","Df","SumOfSqs","R2","F","Pr(>F)"
"timepoint",1,0.117208995844875,0.0558348395150494,0.473093834442025,0.967
"Residual",8,1.98199997229917,0.944165160484951,NA,NA
"Total",9,2.09920896814404,1,NA,NA
