"","Df","SumOfSqs","R2","F","Pr(>F)"
"timepoint",1,0.250865289220909,0.0164993767952612,0.82203248670387,0.589
"Residual",49,14.9536659081611,0.983500623204739,NA,NA
"Total",50,15.204531197382,1,NA,NA
