"","Df","SumOfSqs","R2","F","Pr(>F)"
"timepoint",1,0.932976826220361,0.077655436343368,3.53612787990113,0.001
"Residual",42,11.0813375624727,0.922344563656632,NA,NA
"Total",43,12.014314388693,1,NA,NA
