"","Df","SumOfSqs","R2","F","Pr(>F)"
"timepoint",1,0.0808387478738399,0.0198018833445301,0.343432629727583,0.99
"Residual",17,4.00153798707294,0.98019811665547,NA,NA
"Total",18,4.08237673494678,1,NA,NA
