"","Df","SumOfSqs","R2","F","Pr(>F)"
"timepoint",1,0.494909697007363,0.107729665768188,1.93178522938901,0.028
"Residual",16,4.09908670573194,0.892270334231812,NA,NA
"Total",17,4.5939964027393,1,NA,NA
