"","Df","SumOfSqs","R2","F","Pr(>F)"
"timepoint",1,0.37529885734072,0.142791888433198,1.6657785490644,0.097
"Residual",10,2.25299369806094,0.857208111566802,NA,NA
"Total",11,2.62829255540166,1,NA,NA
