"","Df","SumOfSqs","R2","F","Pr(>F)"
"timepoint",1,0.619678688346807,0.0448266884148692,2.20572992350726,0.01
"Residual",47,13.2041996809788,0.955173311585131,NA,NA
"Total",48,13.8238783693256,1,NA,NA
