"","Df","SumOfSqs","R2","F","Pr(>F)"
"timepoint",1,0.115211984914457,0.036501833650378,0.947117361641472,0.483
"Residual",25,3.04112218771866,0.963498166349622,NA,NA
"Total",26,3.15633417263312,1,NA,NA
