"","Df","SumOfSqs","R2","F","Pr(>F)"
"timepoint",1,0.67818804838523,0.159995728298226,7.61880546031459,0.001
"Residual",40,3.56060042177387,0.840004271701774,NA,NA
"Total",41,4.2387884701591,1,NA,NA
