"","Df","SumOfSqs","R2","F","Pr(>F)"
"timepoint",1,0.144971855025424,0.0521200230387557,1.26467544312353,0.207
"Residual",23,2.63652835493467,0.947879976961244,NA,NA
"Total",24,2.78150020996009,1,NA,NA
