"","Df","SumOfSqs","R2","F","Pr(>F)"
"timepoint",1,0.622262902124171,0.173829024731603,7.99532195821207,0.001
"Residual",38,2.95747818590738,0.826170975268397,NA,NA
"Total",39,3.57974108803155,1,NA,NA
