"","Df","SumOfSqs","R2","F","Pr(>F)"
"timepoint",1,0.275796966713688,0.204456567264713,2.57002394654604,0.014
"Residual",10,1.07312994917554,0.795543432735287,NA,NA
"Total",11,1.34892691588923,1,NA,NA
