"","Df","SumOfSqs","R2","F","Pr(>F)"
"timepoint",1,0.109640846293721,0.242351899481833,1.59936980846441,0.14
"Residual",5,0.342762648492749,0.757648100518166,NA,NA
"Total",6,0.452403494786469,1,NA,NA
