"","Df","SumOfSqs","R2","F","Pr(>F)"
"timepoint",1,0.3009042865128,0.0826519557638101,3.06335911830429,0.016
"Residual",34,3.33971478574095,0.91734804423619,NA,NA
"Total",35,3.64061907225375,1,NA,NA
