"","Df","SumOfSqs","R2","F","Pr(>F)"
"timepoint",1,0.214654927864116,0.187038473059337,1.38042305959939,0.334
"Residual",6,0.932996271127536,0.812961526940663,NA,NA
"Total",7,1.14765119899165,1,NA,NA
