"","Df","SumOfSqs","R2","F","Pr(>F)"
"timepoint",1,0.604309235328367,0.167291118943818,7.43329576726785,0.001
"Residual",37,3.00801184389949,0.832708881056182,NA,NA
"Total",38,3.61232107922785,1,NA,NA
