"","Df","SumOfSqs","R2","F","Pr(>F)"
"timepoint",1,0.728685927289438,0.179193912626175,8.51426749864972,0.001
"Residual",39,3.33777992866621,0.820806087373825,NA,NA
"Total",40,4.06646585595564,1,NA,NA
