"","Df","SumOfSqs","R2","F","Pr(>F)"
"timepoint",1,0.278445200703715,0.129789501800639,2.53550323189205,0.007
"Residual",17,1.8669147617023,0.870210498199361,NA,NA
"Total",18,2.14535996240601,1,NA,NA
