"","Df","SumOfSqs","R2","F","Pr(>F)"
"timepoint",1,0.087259751719799,0.0260335227367445,0.908799012812498,0.41
"Residual",34,3.264562919464,0.973966477263256,NA,NA
"Total",35,3.3518226711838,1,NA,NA
