"","Df","SumOfSqs","R2","F","Pr(>F)"
"timepoint",1,0.18528191075523,0.225073091595113,1.45222142342692,0.318
"Residual",5,0.63792582786035,0.774926908404887,NA,NA
"Total",6,0.82320773861558,1,NA,NA
