"","Df","SumOfSqs","R2","F","Pr(>F)"
"timepoint",1,0.30327084148805,0.154292236836217,2.9190648317383,0.003
"Residual",16,1.66229040583495,0.845707763163783,NA,NA
"Total",17,1.965561247323,1,NA,NA
