"","Df","SumOfSqs","R2","F","Pr(>F)"
"timepoint",1,0.342682731486136,0.0874339542383329,4.11987718555794,0.001
"Residual",43,3.57664968886889,0.912566045761667,NA,NA
"Total",44,3.91933242035503,1,NA,NA
