"","Df","SumOfSqs","R2","F","Pr(>F)"
"timepoint",1,0.203652691680116,0.052864538191963,1.95353137046168,0.106
"Residual",35,3.64869708087644,0.947135461808037,NA,NA
"Total",36,3.85234977255656,1,NA,NA
