"","Df","SumOfSqs","R2","F","Pr(>F)"
"timepoint",1,0.434996257760268,0.117072685208616,4.90605430384978,0.001
"Residual",37,3.28061218655902,0.882927314791384,NA,NA
"Total",38,3.71560844431928,1,NA,NA
