"","Df","SumOfSqs","R2","F","Pr(>F)"
"timepoint",1,0.745143538152421,0.182843790205068,8.95024907176332,0.001
"Residual",40,3.33015777405898,0.817156209794932,NA,NA
"Total",41,4.0753013122114,1,NA,NA
