"","Df","SumOfSqs","R2","F","Pr(>F)"
"timepoint",1,0.669319391871971,0.145061023449236,6.95663915735105,0.001
"Residual",41,3.94473458318632,0.854938976550764,NA,NA
"Total",42,4.61405397505829,1,NA,NA
