"","Df","SumOfSqs","R2","F","Pr(>F)"
"timepoint",1,0.2269457973723,0.0863161489105915,1.79493905615801,0.063
"Residual",19,2.4022933454372,0.913683851089409,NA,NA
"Total",20,2.6292391428095,1,NA,NA
