"","Df","SumOfSqs","R2","F","Pr(>F)"
"timepoint",1,0.632934112973974,0.148273743609281,6.96344594271903,0.001
"Residual",40,3.63575228805083,0.851726256390719,NA,NA
"Total",41,4.2686864010248,1,NA,NA
