"","Df","SumOfSqs","R2","F","Pr(>F)"
"timepoint",1,0.204303163838945,0.131889541001258,2.12697998840755,0.036
"Residual",14,1.34474433672818,0.868110458998742,NA,NA
"Total",15,1.54904750056713,1,NA,NA
