"","Df","SumOfSqs","R2","F","Pr(>F)"
"timepoint",1,0.992015521773894,0.225994194342898,10.8032590060334,0.001
"Residual",37,3.39754645196744,0.774005805657102,NA,NA
"Total",38,4.38956197374134,1,NA,NA
