"","Df","SumOfSqs","R2","F","Pr(>F)"
"timepoint",1,0.215089685696738,0.120374254582615,2.32640112975939,0.017
"Residual",17,1.5717515823347,0.879625745417385,NA,NA
"Total",18,1.78684126803144,1,NA,NA
