"","Df","SumOfSqs","R2","F","Pr(>F)"
"timepoint",1,0.237353923771068,0.0679927783483946,3.20993462049341,0.003
"Residual",44,3.25351568821725,0.932007221651605,NA,NA
"Total",45,3.49086961198832,1,NA,NA
