"","Df","SumOfSqs","R2","F","Pr(>F)"
"timepoint",1,0.779540208052212,0.197651305326528,8.86827265874814,0.001
"Residual",36,3.16447729673674,0.802348694673472,NA,NA
"Total",37,3.94401750478895,1,NA,NA
