"","Df","SumOfSqs","R2","F","Pr(>F)"
"timepoint",1,0.185333808246986,0.0809655500440835,1.58577287376269,0.105
"Residual",18,2.10371144798948,0.919034449955916,NA,NA
"Total",19,2.28904525623647,1,NA,NA
