"","Df","SumOfSqs","R2","F","Pr(>F)"
"timepoint",1,0.829918778144844,0.191345569849092,8.7550204641743,0.001
"Residual",37,3.50735842560423,0.808654430150908,NA,NA
"Total",38,4.33727720374908,1,NA,NA
