"","Df","SumOfSqs","R2","F","Pr(>F)"
"timepoint",1,0.190326410699247,0.0782750775747377,1.69844767501303,0.073
"Residual",20,2.24118073814416,0.921724922425262,NA,NA
"Total",21,2.43150714884341,1,NA,NA
