"","Df","SumOfSqs","R2","F","Pr(>F)"
"timepoint",1,0.157125380994554,0.0453965469467895,2.04488210520137,0.04
"Residual",43,3.30404934620936,0.95460345305321,NA,NA
"Total",44,3.46117472720391,1,NA,NA
