"","Df","SumOfSqs","R2","F","Pr(>F)"
"timepoint",1,0.12577925757729,0.125716176754441,0.86275994187621,0.511
"Residual",6,0.874722514147532,0.874283823245559,NA,NA
"Total",7,1.00050177172482,1,NA,NA
