	Coef.	Std.Err.	z	P>|z|	[0.025	0.975]
Intercept	-3.744	2.167	-1.727	0.084	-7.992	0.504
breastfeeding[T.x]	-9.297	2.487	-3.738	0.000	-14.172	-4.422
timepoint	0.030	0.010	2.905	0.004	0.010	0.051
timepoint:breastfeeding[T.x]	0.044	0.012	3.677	0.000	0.021	0.067
Group Var	0.021	0.026				
